GISJOIN,YEAR,COUNTY,POPULATION
G0100010,1940,Autauga,20977
G0100030,1940,Baldwin,32324
G0100050,1940,Barbour,32722
G0100070,1940,Bibb,20155
G0100090,1940,Blount,29490
G0100110,1940,Bullock,19810
G0100130,1940,Butler,32447
G0100150,1940,Calhoun,63319
G0100170,1940,Chambers,42146
G0100190,1940,Cherokee,19928
G0100210,1940,Chilton,27955
G0100230,1940,Choctaw,20195
G0100250,1940,Clarke,27636
G0100270,1940,Clay,16907
G0100290,1940,Cleburne,13629
G0100310,1940,Coffee,31987
G0100330,1940,Colbert,34093
G0100350,1940,Conecuh,25489
G0100370,1940,Coosa,13460
G0100390,1940,Covington,42417
G0100410,1940,Crenshaw,23631
G0100430,1940,Cullman,47343
G0100450,1940,Dale,22685
G0100470,1940,Dallas,55245
G0100490,1940,DeKalb,43075
G0100510,1940,Elmore,34546
G0100530,1940,Escambia,30671
G0100550,1940,Etowah,72580
G0100570,1940,Fayette,21651
G0100590,1940,Franklin,27552
G0100610,1940,Geneva,29172
G0100630,1940,Greene,19185
G0100650,1940,Hale,25533
G0100670,1940,Henry,21912
G0100690,1940,Houston,45665
G0100710,1940,Jackson,41802
G0100730,1940,Jefferson,459930
G0100750,1940,Lamar,19708
G0100770,1940,Lauderdale,46230
G0100790,1940,Lawrence,27880
G0100810,1940,Lee,36455
G0100830,1940,Limestone,35642
G0100850,1940,Lowndes,22661
G0100870,1940,Macon,27654
G0100890,1940,Madison,66317
G0100910,1940,Marengo,35736
G0100930,1940,Marion,28776
G0100950,1940,Marshall,42395
G0100970,1940,Mobile,141974
G0100990,1940,Monroe,29465
G0101010,1940,Montgomery,114420
G0101030,1940,Morgan,48148
G0101050,1940,Perry,26610
G0101070,1940,Pickens,27671
G0101090,1940,Pike,32493
G0101110,1940,Randolph,25516
G0101130,1940,Russell,35775
G0101150,1940,St Clair,27336
G0101170,1940,Shelby,28962
G0101190,1940,Sumter,27321
G0101210,1940,Talladega,51832
G0101230,1940,Tallapoosa,35270
G0101250,1940,Tuscaloosa,76036
G0101270,1940,Walker,64201
G0101290,1940,Washington,16188
G0101310,1940,Wilcox,26279
G0101330,1940,Winston,18746
G0250015,1940,First Judicial Dist,25241
G0250035,1940,Fourth Judicial Dist,16094
G0250075,1940,Second Judicial Dist,11877
G0250115,1940,Third Judicial Dist,19312
G0400010,1940,Apache,24095
G0400030,1940,Cochise,34627
G0400050,1940,Coconino,18770
G0400070,1940,Gila,23867
G0400090,1940,Graham,12113
G0400110,1940,Greenlee,8698
G0400130,1940,Maricopa,186193
G0400150,1940,Mohave,8591
G0400170,1940,Navajo,25309
G0400190,1940,Pima,72838
G0400210,1940,Pinal,28841
G0400230,1940,Santa Cruz,9482
G0400250,1940,Yavapai,26511
G0400270,1940,Yuma,19326
G0500010,1940,Arkansas,24437
G0500030,1940,Ashley,26785
G0500050,1940,Baxter,10281
G0500070,1940,Benton,36148
G0500090,1940,Boone,15860
G0500110,1940,Bradley,18097
G0500130,1940,Calhoun,9636
G0500150,1940,Carroll,14737
G0500170,1940,Chicot,27452
G0500190,1940,Clark,24402
G0500210,1940,Clay,28386
G0500230,1940,Cleburne,13134
G0500250,1940,Cleveland,12570
G0500270,1940,Columbia,29822
G0500290,1940,Conway,21536
G0500310,1940,Craighead,47200
G0500330,1940,Crawford,23920
G0500350,1940,Crittenden,42473
G0500370,1940,Cross,26046
G0500390,1940,Dallas,14471
G0500410,1940,Desha,27160
G0500430,1940,Drew,19831
G0500450,1940,Faulkner,25880
G0500470,1940,Franklin,15683
G0500490,1940,Fulton,10253
G0500510,1940,Garland,41664
G0500530,1940,Grant,10477
G0500550,1940,Greene,30204
G0500570,1940,Hempstead,32770
G0500590,1940,Hot Spring,18916
G0500610,1940,Howard,16621
G0500630,1940,Independence,25643
G0500650,1940,Izard,12834
G0500670,1940,Jackson,26427
G0500690,1940,Jefferson,65101
G0500710,1940,Johnson,18795
G0500730,1940,Lafayette,16851
G0500750,1940,Lawrence,22651
G0500770,1940,Lee,26810
G0500790,1940,Lincoln,19709
G0500810,1940,Little River,15932
G0500830,1940,Logan,25967
G0500850,1940,Lonoke,29802
G0500870,1940,Madison,14531
G0500890,1940,Marion,9464
G0500910,1940,Miller,31874
G0500930,1940,Mississippi,80217
G0500950,1940,Monroe,21133
G0500970,1940,Montgomery,8876
G0500990,1940,Nevada,19869
G0501010,1940,Newton,10881
G0501030,1940,Ouachita,31151
G0501050,1940,Perry,8392
G0501070,1940,Phillips,45970
G0501090,1940,Pike,11786
G0501110,1940,Poinsett,37670
G0501130,1940,Polk,15832
G0501150,1940,Pope,25682
G0501170,1940,Prairie,15304
G0501190,1940,Pulaski,156085
G0501210,1940,Randolph,18319
G0501230,1940,St Francis,36043
G0501250,1940,Saline,19163
G0501270,1940,Scott,13300
G0501290,1940,Searcy,11942
G0501310,1940,Sebastian,62809
G0501330,1940,Sevier,15248
G0501350,1940,Sharp,11497
G0501370,1940,Stone,8603
G0501390,1940,Union,50461
G0501410,1940,Van Buren,12518
G0501430,1940,Washington,41114
G0501450,1940,White,37176
G0501470,1940,Woodruff,22133
G0501490,1940,Yell,20970
G0600010,1940,Alameda,513011
G0600030,1940,Alpine,323
G0600050,1940,Amador,8973
G0600070,1940,Butte,42840
G0600090,1940,Calaveras,8221
G0600110,1940,Colusa,9788
G0600130,1940,Contra Costa,100450
G0600150,1940,Del Norte,4745
G0600170,1940,El Dorado,13229
G0600190,1940,Fresno,178565
G0600210,1940,Glenn,12195
G0600230,1940,Humboldt,45812
G0600250,1940,Imperial,59740
G0600270,1940,Inyo,7625
G0600290,1940,Kern,135124
G0600310,1940,Kings,35168
G0600330,1940,Lake,8069
G0600350,1940,Lassen,14479
G0600370,1940,Los Angeles,2785643
G0600390,1940,Madera,23314
G0600410,1940,Marin,52907
G0600430,1940,Mariposa,5605
G0600450,1940,Mendocino,27864
G0600470,1940,Merced,46988
G0600490,1940,Modoc,8713
G0600510,1940,Mono,2299
G0600530,1940,Monterey,73032
G0600550,1940,Napa,28503
G0600570,1940,Nevada,19283
G0600590,1940,Orange,130760
G0600610,1940,Placer,28108
G0600630,1940,Plumas,11548
G0600650,1940,Riverside,105524
G0600670,1940,Sacramento,170333
G0600690,1940,San Benito,11392
G0600710,1940,San Bernardino,161108
G0600730,1940,San Diego,289348
G0600750,1940,San Francisco,634536
G0600770,1940,San Joaquin,134207
G0600790,1940,San Luis Obispo,33246
G0600810,1940,San Mateo,111782
G0600830,1940,Santa Barbara,70555
G0600850,1940,Santa Clara,174949
G0600870,1940,Santa Cruz,45057
G0600890,1940,Shasta,28800
G0600910,1940,Sierra,3025
G0600930,1940,Siskiyou,28598
G0600950,1940,Solano,49118
G0600970,1940,Sonoma,69052
G0600990,1940,Stanislaus,74866
G0601010,1940,Sutter,18680
G0601030,1940,Tehama,14316
G0601050,1940,Trinity,3970
G0601070,1940,Tulare,107152
G0601090,1940,Tuolumne,10887
G0601110,1940,Ventura,69685
G0601130,1940,Yolo,27243
G0601150,1940,Yuba,17034
G0800010,1940,Adams,22481
G0800030,1940,Alamosa,10484
G0800050,1940,Arapahoe,32150
G0800070,1940,Archuleta,3806
G0800090,1940,Baca,6207
G0800110,1940,Bent,9653
G0800130,1940,Boulder,37438
G0800150,1940,Chaffee,8109
G0800170,1940,Cheyenne,2964
G0800190,1940,Clear Creek,3784
G0800210,1940,Conejos,11648
G0800230,1940,Costilla,7533
G0800250,1940,Crowley,5398
G0800270,1940,Custer,2270
G0800290,1940,Delta,16470
G0800310,1940,Denver,322412
G0800330,1940,Dolores,1958
G0800350,1940,Douglas,3496
G0800370,1940,Eagle,5361
G0800390,1940,Elbert,5460
G0800410,1940,El Paso,54025
G0800430,1940,Fremont,19742
G0800450,1940,Garfield,10560
G0800470,1940,Gilpin,1625
G0800490,1940,Grand,3587
G0800510,1940,Gunnison,6192
G0800530,1940,Hinsdale,349
G0800550,1940,Huerfano,16088
G0800570,1940,Jackson,1798
G0800590,1940,Jefferson,30725
G0800610,1940,Kiowa,2793
G0800630,1940,Kit Carson,7512
G0800650,1940,Lake,6883
G0800670,1940,La Plata,15494
G0800690,1940,Larimer,35539
G0800710,1940,Las Animas,32369
G0800730,1940,Lincoln,5882
G0800750,1940,Logan,18370
G0800770,1940,Mesa,33791
G0800790,1940,Mineral,975
G0800810,1940,Moffat,5086
G0800830,1940,Montezuma,10463
G0800850,1940,Montrose,15418
G0800870,1940,Morgan,17214
G0800890,1940,Otero,23571
G0800910,1940,Ouray,2089
G0800930,1940,Park,3272
G0800950,1940,Phillips,4948
G0800970,1940,Pitkin,1836
G0800990,1940,Prowers,12304
G0801010,1940,Pueblo,68870
G0801030,1940,Rio Blanco,2943
G0801050,1940,Rio Grande,12404
G0801070,1940,Routt,10525
G0801090,1940,Saguache,6173
G0801110,1940,San Juan,1439
G0801130,1940,San Miguel,3664
G0801150,1940,Sedgwick,5294
G0801170,1940,Summit,1754
G0801190,1940,Teller,6463
G0801210,1940,Washington,8336
G0801230,1940,Weld,63747
G0801250,1940,Yuma,12102
G0900010,1940,Fairfield,418384
G0900030,1940,Hartford,450189
G0900050,1940,Litchfield,87041
G0900070,1940,Middlesex,55999
G0900090,1940,New Haven,484316
G0900110,1940,New London,125224
G0900130,1940,Tolland,31866
G0900150,1940,Windham,56223
G1000010,1940,Kent,34441
G1000030,1940,New Castle,179562
G1000050,1940,Sussex,52502
G1100010,1940,District Of Columbia,663091
G1200010,1940,Alachua,38607
G1200030,1940,Baker,6510
G1200050,1940,Bay,20686
G1200070,1940,Bradford,8717
G1200090,1940,Brevard,16142
G1200110,1940,Broward,39794
G1200130,1940,Calhoun,8218
G1200150,1940,Charlotte,3663
G1200170,1940,Citrus,5846
G1200190,1940,Clay,6468
G1200210,1940,Collier,5102
G1200230,1940,Columbia,16859
G1200250,1940,Dade,267739
G1200270,1940,DeSoto,7792
G1200290,1940,Dixie,7018
G1200310,1940,Duval,210143
G1200330,1940,Escambia,74667
G1200350,1940,Flagler,3008
G1200370,1940,Franklin,5991
G1200390,1940,Gadsden,31450
G1200410,1940,Gilchrist,4250
G1200430,1940,Glades,2745
G1200450,1940,Gulf,6951
G1200470,1940,Hamilton,9778
G1200490,1940,Hardee,10158
G1200510,1940,Hendry,5237
G1200530,1940,Hernando,5641
G1200550,1940,Highlands,9246
G1200570,1940,Hillsborough,180148
G1200590,1940,Holmes,15447
G1200610,1940,Indian River,8957
G1200630,1940,Jackson,34428
G1200650,1940,Jefferson,12032
G1200670,1940,Lafayette,4405
G1200690,1940,Lake,27255
G1200710,1940,Lee,17488
G1200730,1940,Leon,31646
G1200750,1940,Levy,12550
G1200770,1940,Liberty,3752
G1200790,1940,Madison,16190
G1200810,1940,Manatee,26098
G1200830,1940,Marion,31243
G1200850,1940,Martin,6295
G1200870,1940,Monroe,14078
G1200890,1940,Nassau,10826
G1200910,1940,Okaloosa,12900
G1200930,1940,Okeechobee,3000
G1200950,1940,Orange,70074
G1200970,1940,Osceola,10119
G1200990,1940,Palm Beach,79989
G1201010,1940,Pasco,13981
G1201030,1940,Pinellas,91852
G1201050,1940,Polk,86665
G1201070,1940,Putnam,18698
G1201090,1940,St Johns,20012
G1201110,1940,St Lucie,11871
G1201130,1940,Santa Rosa,16085
G1201150,1940,Sarasota,16106
G1201170,1940,Seminole,22304
G1201190,1940,Sumter,11041
G1201210,1940,Suwannee,17073
G1201230,1940,Taylor,11565
G1201250,1940,Union,7094
G1201270,1940,Volusia,53710
G1201290,1940,Wakulla,5463
G1201310,1940,Walton,14246
G1201330,1940,Washington,12302
G1300010,1940,Appling,14497
G1300030,1940,Atkinson,7093
G1300050,1940,Bacon,8096
G1300070,1940,Baker,7344
G1300090,1940,Baldwin,24190
G1300110,1940,Banks,8733
G1300130,1940,Barrow,13064
G1300150,1940,Bartow,25283
G1300170,1940,Ben Hill,14523
G1300190,1940,Berrien,15370
G1300210,1940,Bibb,83783
G1300230,1940,Bleckley,9655
G1300250,1940,Brantley,6871
G1300270,1940,Brooks,20497
G1300290,1940,Bryan,6288
G1300310,1940,Bulloch,26010
G1300330,1940,Burke,26520
G1300350,1940,Butts,9182
G1300370,1940,Calhoun,10438
G1300390,1940,Camden,5910
G1300430,1940,Candler,9103
G1300450,1940,Carroll,34156
G1300470,1940,Catoosa,12199
G1300490,1940,Charlton,5256
G1300510,1940,Chatham,117970
G1300530,1940,Chattahoochee,15138
G1300550,1940,Chattooga,18532
G1300570,1940,Cherokee,20126
G1300590,1940,Clarke,28398
G1300610,1940,Clay,7064
G1300630,1940,Clayton,11655
G1300650,1940,Clinch,6437
G1300670,1940,Cobb,38272
G1300690,1940,Coffee,21541
G1300710,1940,Colquitt,33012
G1300730,1940,Columbia,9433
G1300750,1940,Cook,11919
G1300770,1940,Coweta,26972
G1300790,1940,Crawford,7128
G1300810,1940,Crisp,17540
G1300830,1940,Dade,5894
G1300850,1940,Dawson,4479
G1300870,1940,Decatur,22234
G1300890,1940,DeKalb,86942
G1300910,1940,Dodge,21022
G1300930,1940,Dooly,16886
G1300950,1940,Dougherty,28565
G1300970,1940,Douglas,10053
G1300990,1940,Early,18679
G1301010,1940,Echols,2964
G1301030,1940,Effingham,9646
G1301050,1940,Elbert,19618
G1301070,1940,Emanuel,23517
G1301090,1940,Evans,7401
G1301110,1940,Fannin,14752
G1301130,1940,Fayette,8170
G1301150,1940,Floyd,56141
G1301170,1940,Forsyth,11322
G1301190,1940,Franklin,15612
G1301210,1940,Fulton,392886
G1301230,1940,Gilmer,9001
G1301250,1940,Glascock,4547
G1301270,1940,Glynn,21920
G1301290,1940,Gordon,18445
G1301310,1940,Grady,19654
G1301330,1940,Greene,13709
G1301350,1940,Gwinnett,29087
G1301370,1940,Habersham,14771
G1301390,1940,Hall,34822
G1301410,1940,Hancock,12764
G1301430,1940,Haralson,14377
G1301450,1940,Harris,11428
G1301470,1940,Hart,15512
G1301490,1940,Heard,8610
G1301510,1940,Henry,15119
G1301530,1940,Houston,11303
G1301550,1940,Irwin,12936
G1301570,1940,Jackson,20089
G1301590,1940,Jasper,8772
G1301610,1940,Jeff Davis,8841
G1301630,1940,Jefferson,20040
G1301650,1940,Jenkins,11843
G1301670,1940,Johnson,12953
G1301690,1940,Jones,8331
G1301710,1940,Lamar,10091
G1301730,1940,Lanier,5632
G1301750,1940,Laurens,33606
G1301770,1940,Lee,7837
G1301790,1940,Liberty,8595
G1301810,1940,Lincoln,7042
G1301830,1940,Long,4086
G1301850,1940,Lowndes,31860
G1301870,1940,Lumpkin,6223
G1301890,1940,McDuffie,10878
G1301910,1940,McIntosh,5292
G1301930,1940,Macon,15947
G1301950,1940,Madison,13431
G1301970,1940,Marion,6954
G1301990,1940,Meriwether,22055
G1302010,1940,Miller,9998
G1302050,1940,Mitchell,23261
G1302070,1940,Monroe,10749
G1302090,1940,Montgomery,9668
G1302110,1940,Morgan,12713
G1302130,1940,Murray,11137
G1302150,1940,Muscogee,75494
G1302170,1940,Newton,18576
G1302190,1940,Oconee,7576
G1302210,1940,Oglethorpe,12430
G1302230,1940,Paulding,12832
G1302250,1940,Peach,10378
G1302270,1940,Pickens,9136
G1302290,1940,Pierce,11800
G1302310,1940,Pike,10375
G1302330,1940,Polk,28467
G1302350,1940,Pulaski,9829
G1302370,1940,Putnam,8514
G1302390,1940,Quitman,3435
G1302410,1940,Rabun,7821
G1302430,1940,Randolph,16609
G1302450,1940,Richmond,81863
G1302470,1940,Rockdale,7724
G1302490,1940,Schley,5033
G1302510,1940,Screven,20353
G1302530,1940,Seminole,8492
G1302550,1940,Spalding,28427
G1302570,1940,Stephens,12972
G1302590,1940,Stewart,10603
G1302610,1940,Sumter,24502
G1302630,1940,Talbot,8141
G1302650,1940,Taliaferro,6278
G1302670,1940,Tattnall,16243
G1302690,1940,Taylor,10768
G1302710,1940,Telfair,15145
G1302730,1940,Terrell,16675
G1302750,1940,Thomas,31289
G1302770,1940,Tift,18599
G1302790,1940,Toombs,16952
G1302810,1940,Towns,4925
G1302830,1940,Treutlen,7632
G1302850,1940,Troup,43879
G1302870,1940,Turner,10846
G1302890,1940,Twiggs,9117
G1302910,1940,Union,7680
G1302930,1940,Upson,25064
G1302950,1940,Walker,31024
G1302970,1940,Walton,20777
G1302990,1940,Ware,27929
G1303010,1940,Warren,10236
G1303030,1940,Washington,24230
G1303050,1940,Wayne,13122
G1303070,1940,Webster,4726
G1303090,1940,Wheeler,8535
G1303110,1940,White,6417
G1303130,1940,Whitfield,26105
G1303150,1940,Wilcox,12755
G1303170,1940,Wilkes,15084
G1303190,1940,Wilkinson,11025
G1303210,1940,Worth,21374
G1550015,1940,Hawaii,73276
G1550035,1940,Honolulu,258256
G1550075,1940,Kauai,35818
G1550095,1940,Maui,55980
G1600010,1940,Ada,50401
G1600030,1940,Adams,3407
G1600050,1940,Bannock,34759
G1600070,1940,Bear Lake,7911
G1600090,1940,Benewah,7332
G1600110,1940,Bingham,21044
G1600130,1940,Blaine,5295
G1600150,1940,Boise,2333
G1600170,1940,Bonner,15667
G1600190,1940,Bonneville,25697
G1600210,1940,Boundary,5987
G1600230,1940,Butte,1877
G1600250,1940,Camas,1360
G1600270,1940,Canyon,40987
G1600290,1940,Caribou,2284
G1600310,1940,Cassia,14430
G1600330,1940,Clark,1005
G1600350,1940,Clearwater,8243
G1600370,1940,Custer,3549
G1600390,1940,Elmore,5518
G1600410,1940,Franklin,10229
G1600430,1940,Fremont,10304
G1600450,1940,Gem,9544
G1600470,1940,Gooding,9257
G1600490,1940,Idaho,12691
G1600510,1940,Jefferson,10762
G1600530,1940,Jerome,9900
G1600550,1940,Kootenai,22283
G1600570,1940,Latah,18804
G1600590,1940,Lemhi,6521
G1600610,1940,Lewis,4666
G1600630,1940,Lincoln,4230
G1600650,1940,Madison,9186
G1600670,1940,Minidoka,9870
G1600690,1940,Nez Perce,18873
G1600710,1940,Oneida,5417
G1600730,1940,Owyhee,5652
G1600750,1940,Payette,9511
G1600770,1940,Power,3965
G1600790,1940,Shoshone,21230
G1600810,1940,Teton,3601
G1600830,1940,Twin Falls,36403
G1600850,1940,Valley,4035
G1600870,1940,Washington,8853
G1600875,1940,Yellowstone National Park,0
G1700010,1940,Adams,65229
G1700030,1940,Alexander,25496
G1700050,1940,Bond,14540
G1700070,1940,Boone,15202
G1700090,1940,Brown,8053
G1700110,1940,Bureau,37600
G1700130,1940,Calhoun,8207
G1700150,1940,Carroll,17987
G1700170,1940,Cass,16425
G1700190,1940,Champaign,70578
G1700210,1940,Christian,38564
G1700230,1940,Clark,18842
G1700250,1940,Clay,18947
G1700270,1940,Clinton,22912
G1700290,1940,Coles,38470
G1700310,1940,Cook,4063342
G1700330,1940,Crawford,21294
G1700350,1940,Cumberland,11698
G1700370,1940,DeKalb,34388
G1700390,1940,De Witt,18244
G1700410,1940,Douglas,17590
G1700430,1940,Dupage,103480
G1700450,1940,Edgar,24430
G1700470,1940,Edwards,8974
G1700490,1940,Effingham,22034
G1700510,1940,Fayette,29159
G1700530,1940,Ford,15007
G1700550,1940,Franklin,53137
G1700570,1940,Fulton,44627
G1700590,1940,Gallatin,11414
G1700610,1940,Greene,20292
G1700630,1940,Grundy,18398
G1700650,1940,Hamilton,13454
G1700670,1940,Hancock,26297
G1700690,1940,Hardin,7759
G1700710,1940,Henderson,8949
G1700730,1940,Henry,43798
G1700750,1940,Iroquois,32496
G1700770,1940,Jackson,37920
G1700790,1940,Jasper,13431
G1700810,1940,Jefferson,34375
G1700830,1940,Jersey,13636
G1700850,1940,Jo Daviess,19989
G1700870,1940,Johnson,10727
G1700890,1940,Kane,130206
G1700910,1940,Kankakee,60877
G1700930,1940,Kendall,11105
G1700950,1940,Knox,52250
G1700970,1940,Lake,121094
G1700990,1940,La Salle,97801
G1701010,1940,Lawrence,21075
G1701030,1940,Lee,34604
G1701050,1940,Livingston,38838
G1701070,1940,Logan,29438
G1701090,1940,McDonough,26944
G1701110,1940,McHenry,37311
G1701130,1940,McLean,73930
G1701150,1940,Macon,84693
G1701170,1940,Macoupin,46304
G1701190,1940,Madison,149349
G1701210,1940,Marion,47989
G1701230,1940,Marshall,13179
G1701250,1940,Mason,15358
G1701270,1940,Massac,14937
G1701290,1940,Menard,10663
G1701310,1940,Mercer,17701
G1701330,1940,Monroe,12754
G1701350,1940,Montgomery,34499
G1701370,1940,Morgan,36378
G1701390,1940,Moultrie,13477
G1701410,1940,Ogle,29869
G1701430,1940,Peoria,153374
G1701450,1940,Perry,23438
G1701470,1940,Piatt,14659
G1701490,1940,Pike,25340
G1701510,1940,Pope,7999
G1701530,1940,Pulaski,15875
G1701550,1940,Putnam,5289
G1701570,1940,Randolph,33608
G1701590,1940,Richland,17137
G1701610,1940,Rock Island,113323
G1701630,1940,St Clair,166899
G1701650,1940,Saline,38066
G1701670,1940,Sangamon,117912
G1701690,1940,Schuyler,11430
G1701710,1940,Scott,8176
G1701730,1940,Shelby,26290
G1701750,1940,Stark,8881
G1701770,1940,Stephenson,40646
G1701790,1940,Tazewell,58362
G1701810,1940,Union,21528
G1701830,1940,Vermilion,86791
G1701850,1940,Wabash,13724
G1701870,1940,Warren,21286
G1701890,1940,Washington,15801
G1701910,1940,Wayne,22092
G1701930,1940,White,20027
G1701950,1940,Whiteside,43338
G1701970,1940,Will,114210
G1701990,1940,Williamson,51424
G1702010,1940,Winnebago,121178
G1702030,1940,Woodford,19124
G1800010,1940,Adams,21254
G1800030,1940,Allen,155084
G1800050,1940,Bartholomew,28276
G1800070,1940,Benton,11117
G1800090,1940,Blackford,13783
G1800110,1940,Boone,22081
G1800130,1940,Brown,6189
G1800150,1940,Carroll,15410
G1800170,1940,Cass,36908
G1800190,1940,Clark,31020
G1800210,1940,Clay,25365
G1800230,1940,Clinton,28411
G1800250,1940,Crawford,10171
G1800270,1940,Daviess,26163
G1800290,1940,Dearborn,23053
G1800310,1940,Decatur,17722
G1800330,1940,DeKalb,24756
G1800350,1940,Delaware,74963
G1800370,1940,Dubois,22579
G1800390,1940,Elkhart,72634
G1800410,1940,Fayette,19411
G1800430,1940,Floyd,35061
G1800450,1940,Fountain,18299
G1800470,1940,Franklin,14412
G1800490,1940,Fulton,15577
G1800510,1940,Gibson,30709
G1800530,1940,Grant,55813
G1800550,1940,Greene,31330
G1800570,1940,Hamilton,24614
G1800590,1940,Hancock,17302
G1800610,1940,Harrison,17106
G1800630,1940,Hendricks,20151
G1800650,1940,Henry,40208
G1800670,1940,Howard,47752
G1800690,1940,Huntington,29931
G1800710,1940,Jackson,26612
G1800730,1940,Jasper,14397
G1800750,1940,Jay,22601
G1800770,1940,Jefferson,19912
G1800790,1940,Jennings,13680
G1800810,1940,Johnson,22493
G1800830,1940,Knox,43973
G1800850,1940,Kosciusko,29561
G1800870,1940,Lagrange,14352
G1800890,1940,Lake,293195
G1800910,1940,LaPorte,63660
G1800930,1940,Lawrence,35045
G1800950,1940,Madison,88575
G1800970,1940,Marion,460926
G1800990,1940,Marshall,25935
G1801010,1940,Martin,10300
G1801030,1940,Miami,27926
G1801050,1940,Monroe,36534
G1801070,1940,Montgomery,27231
G1801090,1940,Morgan,19801
G1801110,1940,Newton,10775
G1801130,1940,Noble,22776
G1801150,1940,Ohio,3782
G1801170,1940,Orange,17311
G1801190,1940,Owen,12090
G1801210,1940,Parke,17358
G1801230,1940,Perry,17770
G1801250,1940,Pike,17045
G1801270,1940,Porter,27836
G1801290,1940,Posey,19183
G1801310,1940,Pulaski,12056
G1801330,1940,Putnam,20839
G1801350,1940,Randolph,26766
G1801370,1940,Ripley,18898
G1801390,1940,Rush,18927
G1801410,1940,St Joseph,161823
G1801430,1940,Scott,8978
G1801450,1940,Shelby,25953
G1801470,1940,Spencer,16211
G1801490,1940,Starke,12258
G1801510,1940,Steuben,13740
G1801530,1940,Sullivan,27014
G1801550,1940,Switzerland,8167
G1801570,1940,Tippecanoe,51020
G1801590,1940,Tipton,15135
G1801610,1940,Union,6017
G1801630,1940,Vanderburgh,130783
G1801650,1940,Vermillion,21787
G1801670,1940,Vigo,99709
G1801690,1940,Wabash,26601
G1801710,1940,Warren,9055
G1801730,1940,Warrick,19435
G1801750,1940,Washington,17008
G1801770,1940,Wayne,59229
G1801790,1940,Wells,19099
G1801810,1940,White,17037
G1801830,1940,Whitley,17001
G1900010,1940,Adair,13196
G1900030,1940,Adams,10156
G1900050,1940,Allamakee,17184
G1900070,1940,Appanoose,24245
G1900090,1940,Audubon,11790
G1900110,1940,Benton,22879
G1900130,1940,Black Hawk,79946
G1900150,1940,Boone,29782
G1900170,1940,Bremer,17932
G1900190,1940,Buchanan,20991
G1900210,1940,Buena Vista,19838
G1900230,1940,Butler,17986
G1900250,1940,Calhoun,17584
G1900270,1940,Carroll,22770
G1900290,1940,Cass,18647
G1900310,1940,Cedar,16884
G1900330,1940,Cerro Gordo,43845
G1900350,1940,Cherokee,19258
